id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Neon Blossom,Pixel Palace,kpop,bright,0.87,128,0.91,0.83,0.16
12,Ocean Avenue Blue,Harbor Static,citypop,nostalgic,0.64,104,0.76,0.71,0.42
13,Cloud Sketches,Velvet Aurora,dreampop,ethereal,0.46,96,0.68,0.57,0.74
14,Moonlit Sonata,Claire Vale,classical,serene,0.20,68,0.58,0.22,0.96
15,Static Hearts,North Signal,alternative rock,rebellious,0.84,146,0.51,0.69,0.12
16,Sabor de Verano,Sol y Sombra,latin,festive,0.79,122,0.88,0.86,0.14
17,Iron Pulse,Black Meridian,metal,powerful,0.97,170,0.39,0.74,0.03
18,Sunset Carousel,Marina Lane,citypop,wistful,0.58,108,0.73,0.68,0.49
19,Glass Horizon,Halo Bloom,dreampop,melancholic,0.41,92,0.62,0.53,0.81
20,Midnight Barrio,La Ruta,latin,romantic,0.73,116,0.84,0.79,0.21
